"","group","s__Actinomyces_graevenitzii","s__Rothia_mucilaginosa","s__Collinsella_aerofaciens","s__Bacteroides_coprocola","s__Bacteroides_dorei","s__Bacteroides_plebeius","s__Butyricimonas_synergistica","s__Parabacteroides_goldsteinii","s__Porphyromonas_gingivalis","s__Alloprevotella_unclassified","s__Paraprevotella_clara","s__Prevotella_copri","s__Prevotella_histicola","s__Prevotella_melaninogenica","s__Prevotella_pallens","s__Gemella_haemolysans","s__Lactobacillus_crispatus","s__Lactobacillus_salivarius","s__Streptococcus_downei","s__Clostridium_asparagiforme","s__Pseudoflavonifractor_capillosus","s__Eubacterium_limosum","s__Coprococcus_eutactus","s__Oribacterium_sinus","s__Catenibacterium_mitsuokai","s__Erysipelotrichaceae_bacterium_2_2_44A","s__Anaeroglobus_geminatus","s__Megamonas_funiformis","s__Fusobacterium_mortiferum","s__Sutterella_wadsworthensis","s__Aeromonas_veronii","s__Klebsiella_unclassified","s__Aggregatibacter_aphrophilus","cluster"
"83","0",0,0,1.04515,0,1.05473,0,0,0,0,0,0,17.11816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07812,0,0,0,2
"84","1",0,0,0,0,1.04164,0,0,0.25045,0,0,0,0,0,0,0,0,0,0,0,0.00229,0.01554,0,0,0,0,0,0,0,0,0,0,0,0,2
"85","1",0,0,0.76813,0,1.6103,0,0.00089,0,0,0,0,0,0,0,0,0,0,0,0,0.01307,0.04091,0,0,0,0,0.04345,0,0,0,0,0,0,0,2
"86","0",0,0,3.24728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295,0,0,0,0,0,0,0,0,1.46705,0,0,0,2
"87","1",0.00385,0.00889,0.84299,0,1.62096,0,0,0,0,0,0.01618,0.07616,0,0,0,0,0,0,0,0,0.03139,0,0,0,0,0,0,0,0,0,0,0,0,2
"88","1",0,0,0.274,0,1.45908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02561,0.01506,0,0.00996,0,0,0.00035,0,0,0,0.01123,0,0,0,2
"89","0",0,0,0.04569,0,0.10733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04894,0,0,0,0,0,0.0023,0,0,0,0.01183,0,0,0,2
"90","0",0,0.01996,0,0,0,0,0,0,0,0,0.12185,0.00742,0,0,0,0.00045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"91","1",0.10101,0.01438,0.73991,0.55915,0.87231,0,0,0.03076,0,0,0.60168,0,0,0,0,0.00141,0,0,0,0.00272,0,0,0,0,0,0.19326,0,0,0,0,0,0,0,2
"92","0",0,0,0,0,0,0,0,0,0,0,0,0.07846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
